"frequency","Slope of conduction_velocity","Lower","Upper","Significance"
22.2169909270221,-0.0131287070281768,-0.040451728310684,0.0141943142543305,"Insignificant"
22.5397317031351,-0.0130086085027568,-0.0403010189523197,0.0142838019468062,"Insignificant"
22.8624724792481,-0.0128885099773367,-0.0401504341918989,0.0143734142372254,"Insignificant"
23.185213255361,-0.0127684114519167,-0.0399999744478907,0.0144631515440572,"Insignificant"
23.507954031474,-0.0126483129264967,-0.0398496401389125,0.0145530142859191,"Insignificant"
23.830694807587,-0.0125282144010767,-0.039699431683712,0.0146430028815585,"Insignificant"
24.1534355837,-0.0124081158756567,-0.0395493495011478,0.0147331177498344,"Insignificant"
24.4761763598129,-0.0122880173502367,-0.0393993940101714,0.014823359309698,"Insignificant"
24.7989171359259,-0.0121679188248167,-0.0392495656298074,0.0149137279801741,"Insignificant"
25.1216579120389,-0.0120478202993967,-0.0390998647791347,0.0150042241803414,"Insignificant"
25.4443986881518,-0.0119277217739766,-0.0389502918772669,0.0150948483293136,"Insignificant"
25.7671394642648,-0.0118076232485566,-0.0388008473433326,0.0151856008462193,"Insignificant"
26.0898802403778,-0.0116875247231366,-0.0386515315964558,0.0152764821501825,"Insignificant"
26.4126210164908,-0.0115674261977166,-0.0385023450557355,0.0153674926603022,"Insignificant"
26.7353617926038,-0.0114473276722966,-0.0383532881402257,0.0154586327956325,"Insignificant"
27.0581025687167,-0.0113272291468766,-0.0382043612689152,0.015549902975162,"Insignificant"
27.3808433448297,-0.0112071306214566,-0.0380555648607064,0.0156413036177933,"Insignificant"
27.7035841209427,-0.0110870320960366,-0.0379068993343951,0.015732835142322,"Insignificant"
28.0263248970556,-0.0109669335706165,-0.037758365108649,0.0158244979674159,"Insignificant"
28.3490656731686,-0.0108468350451965,-0.0376099626019869,0.0159162925115938,"Insignificant"
28.6718064492816,-0.0107267365197765,-0.0374616922327571,0.0160082191932041,"Insignificant"
28.9945472253946,-0.0106066379943565,-0.0373135544191159,0.0161002784304029,"Insignificant"
29.3172880015075,-0.0104865394689365,-0.0371655495790058,0.0161924706411328,"Insignificant"
29.6400287776205,-0.0103664409435165,-0.0370176781301337,0.0162847962431008,"Insignificant"
29.9627695537335,-0.0102463424180965,-0.0368699404899486,0.0163772556537556,"Insignificant"
30.2855103298465,-0.0101262438926765,-0.0367223370756192,0.0164698492902663,"Insignificant"
30.6082511059594,-0.0100061453672564,-0.0365748683040118,0.0165625775694989,"Insignificant"
30.9309918820724,-0.00988604684183642,-0.0364275345916671,0.0166554409079943,"Insignificant"
31.2537326581854,-0.00976594831641641,-0.0362803363547779,0.0167484397219451,"Insignificant"
31.5764734342984,-0.0096458497909964,-0.0361332740091655,0.0168415744271727,"Insignificant"
31.8992142104113,-0.00952575126557639,-0.0359863479702567,0.016934845439104,"Insignificant"
32.2219549865243,-0.00940565274015637,-0.0358395586530608,0.017028253172748,"Insignificant"
32.5446957626373,-0.00928555421473636,-0.0356929064721451,0.0171217980426724,"Insignificant"
32.8674365387503,-0.00916545568931635,-0.0355463918416122,0.0172154804629795,"Insignificant"
33.1901773148632,-0.00904535716389633,-0.0354000151750753,0.0173093008472826,"Insignificant"
33.5129180909762,-0.00892525863847632,-0.0352537768856344,0.0174032596086817,"Insignificant"
33.8356588670892,-0.00880516011305631,-0.0351076773858521,0.0174973571597395,"Insignificant"
34.1583996432022,-0.00868506158763629,-0.0349617170877291,0.0175915939124565,"Insignificant"
34.4811404193151,-0.00856496306221628,-0.0348158964026794,0.0176859702782469,"Insignificant"
34.8038811954281,-0.00844486453679627,-0.0346702157415061,0.0177804866679135,"Insignificant"
35.1266219715411,-0.00832476601137626,-0.0345246755143756,0.0178751434916231,"Insignificant"
35.449362747654,-0.00820466748595624,-0.0343792761307935,0.017969941158881,"Insignificant"
35.772103523767,-0.00808456896053623,-0.0342340179995785,0.018064880078506,"Insignificant"
36.09484429988,-0.00796447043511622,-0.0340889015288376,0.0181599606586052,"Insignificant"
36.417585075993,-0.00784437190969621,-0.0339439271259403,0.0182551833065479,"Insignificant"
36.740325852106,-0.00772427338427619,-0.033799095197493,0.0183505484289406,"Insignificant"
37.0630666282189,-0.00760417485885618,-0.0336544061493127,0.0184460564316004,"Insignificant"
37.3858074043319,-0.00748407633343617,-0.0335098603864019,0.0185417077195296,"Insignificant"
