,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,frequency
68,hff19,hff19_5,frequency_electrical_150.0~-1.0_1.0,hff19_5_frequency_electrical_150.0~-1.0_1.0_0,M,Ad,14.40682945536253,180.0,0.5288888888888889,1.0,150
69,hff05,hff05_2,frequency_electrical_150.0~-1.0_1.0,hff05_2_frequency_electrical_150.0~-1.0_1.0_1,M,Ad,15.127191242303578,270.0,0.2111111111111111,1.0,150
70,hff02,hff02_2,frequency_electrical_150.0~-1.0_1.0,hff02_2_frequency_electrical_150.0~-1.0_1.0_0,M,SA,15.836799519853214,990.0000000000001,0.2866666666666667,0.5,150
71,hff05,hff05_1,frequency_electrical_150.0~-1.0_1.0,hff05_1_frequency_electrical_150.0~-1.0_1.0_1,M,,16.38792783763195,270.0,0.3466666666666667,0.5666666666666667,150
72,hff20,hff20_1,frequency_electrical_150.0~-1.0_1.0,hff20_1_frequency_electrical_150.0~-1.0_1.0_0,F,SA,17.951329875519964,270.0,0.8933333333333333,0.9666666666666667,150
73,hff10,hff10_1,frequency_electrical_150.0~-1.0_1.0,hff10_1_frequency_electrical_150.0~-1.0_1.0_0,F,FA,17.98280010269721,90.0,0.5044444444444445,0.7666666666666667,150
74,hff13,hff13_2,frequency_electrical_150.0~-1.0_1.0,hff13_2_frequency_electrical_150.0~-1.0_1.0_0,F,FA,18.868919131922272,180.0,1.0,1.0,150
75,hff19,hff19_3,frequency_electrical_150.0~-1.0_1.0,hff19_3_frequency_electrical_150.0~-1.0_1.0_0,M,FA,19.745486271016695,900.0,0.33555555555555555,0.6,150
76,hff11,hff11_2,frequency_electrical_150.0~-1.0_1.0,hff11_2_frequency_electrical_150.0~-1.0_1.0_0,F,FA,22.135128780021784,540.0,0.2777777777777778,0.4666666666666667,150
77,hff02,hff02_1,frequency_electrical_150.0~-1.0_1.0,hff02_1_frequency_electrical_150.0~-1.0_1.0_0,M,FA,22.20494034099179,360.0,0.15333333333333332,0.3,150
78,hff19,hff19_2,frequency_electrical_150.0~-1.0_1.0,hff19_2_frequency_electrical_150.0~-1.0_1.0_0,M,SA,23.202329105578443,270.0,1.0,1.0,150
79,hff12,hff12_1,frequency_electrical_150.0~-1.0_1.0,hff12_1_frequency_electrical_150.0~-1.0_1.0_1,F,Ad,24.451816072112912,180.0,1.0,1.0,150
80,hff11,hff11_1,frequency_electrical_150.0~-1.0_1.0,hff11_1_frequency_electrical_150.0~-1.0_1.0_0,F,FA,25.854068427202865,540.0,0.5133333333333333,0.8,150
81,hff15,hff15_1,frequency_electrical_150.0~-1.0_1.0,hff15_1_frequency_electrical_150.0~-1.0_1.0_1,M,,28.103205149979775,360.0,1.0,1.0,150
82,hff16,hff16_1,frequency_electrical_150.0~-1.0_1.0,hff16_1_frequency_electrical_150.0~-1.0_1.0_0,M,SA,28.430261549470504,630.0,0.4288888888888889,0.4666666666666667,150
83,hff08,hff08_1,frequency_electrical_150.0~-1.0_1.0,hff08_1_frequency_electrical_150.0~-1.0_1.0_0,F,FA,31.187411911603604,270.0,0.49333333333333335,0.6666666666666666,150
84,hff03,hff03_3,frequency_electrical_150.0~-1.0_1.0,hff03_3_frequency_electrical_150.0~-1.0_1.0_1,F,FA,32.67135269699128,450.0,0.9533333333333334,1.0,150
85,hff19,hff19_5,frequency_electrical_200.0~-1.0_1.0,hff19_5_frequency_electrical_200.0~-1.0_1.0_0,M,Ad,14.40682945536253,240.0,0.20666666666666667,0.9,200
